X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key,Incident_Rate,People_Tested,People_Hospitalized,UID,ISO3
-86.64408227,32.53952745,1,Alabama,US,2021/02/06 21:22:38+00,32.53952745,-86.64408227,5856,0,77,5779,Autauga,01001,"Autauga, Alabama, US",10481.6624603984,,,84001001,USA
-87.72207058,30.7277499100001,2,Alabama,US,2021/02/06 21:22:38+00,30.72774991,-87.72207058,18668,0,227,18441,Baldwin,01003,"Baldwin, Alabama, US",8362.52542175475,,,84001003,USA
-85.3871286,31.8682630000001,3,Alabama,US,2021/02/06 21:22:38+00,31.868263,-85.3871286,2002,0,45,1957,Barbour,01005,"Barbour, Alabama, US",8109.85983958519,,,84001005,USA
-87.1251146,32.9964206400001,4,Alabama,US,2021/02/06 21:22:38+00,32.99642064,-87.1251146,2334,0,53,2281,Bibb,01007,"Bibb, Alabama, US",10422.4345806913,,,84001007,USA
-86.5679059299999,33.9821091800001,5,Alabama,US,2021/02/06 21:22:38+00,33.98210918,-86.56790593,5908,0,112,5796,Blount,01009,"Blount, Alabama, US",10216.8574689586,,,84001009,USA
-85.71265535,32.10030533,6,Alabama,US,2021/02/06 21:22:38+00,32.10030533,-85.71265535,1121,0,29,1092,Bullock,01011,"Bullock, Alabama, US",11097.9110979111,,,84001011,USA
-86.68057478,31.7530009500001,7,Alabama,US,2021/02/06 21:22:38+00,31.75300095,-86.68057478,1863,0,62,1801,Butler,01013,"Butler, Alabama, US",9579.39119703826,,,84001013,USA
-85.8263038599999,33.77483727,8,Alabama,US,2021/02/06 21:22:38+00,33.77483727,-85.82630386,12368,0,246,12122,Calhoun,01015,"Calhoun, Alabama, US",10886.8447691563,,,84001015,USA
-85.39072749,32.91360079,9,Alabama,US,2021/02/06 21:22:38+00,32.91360079,-85.39072749,3259,0,81,3178,Chambers,01017,"Chambers, Alabama, US",9800.32477295964,,,84001017,USA
-85.60638968,34.1780598300001,10,Alabama,US,2021/02/06 21:22:38+00,34.17805983,-85.60638968,1729,0,36,1693,Cherokee,01019,"Cherokee, Alabama, US",6600.24431210872,,,84001019,USA
-86.7173256,32.85044126,11,Alabama,US,2021/02/06 21:22:38+00,32.85044126,-86.7173256,3609,0,82,3527,Chilton,01021,"Chilton, Alabama, US",8123.25560457369,,,84001021,USA
-88.2656443,32.02227341,12,Alabama,US,2021/02/06 21:22:38+00,32.02227341,-88.2656443,540,0,23,517,Choctaw,01023,"Choctaw, Alabama, US",4289.45905155294,,,84001023,USA
-87.83548597,31.6809985900001,13,Alabama,US,2021/02/06 21:22:38+00,31.68099859,-87.83548597,3327,0,40,3287,Clarke,01025,"Clarke, Alabama, US",14084.3281686563,,,84001025,USA
-85.85836077,33.26984193,14,Alabama,US,2021/02/06 21:22:38+00,33.26984193,-85.85836077,1354,0,52,1302,Clay,01027,"Clay, Alabama, US",10230.4495655459,,,84001027,USA
-85.5200589899999,33.6767920400001,15,Alabama,US,2021/02/06 21:22:38+00,33.67679204,-85.52005899,1318,0,31,1287,Cleburne,01029,"Cleburne, Alabama, US",8839.70489604292,,,84001029,USA
-85.98901039,31.3993282600001,16,Alabama,US,2021/02/06 21:22:38+00,31.39932826,-85.98901039,5071,0,78,4993,Coffee,01031,"Coffee, Alabama, US",9688.20450116541,,,84001031,USA
-87.80168544,34.69847452,17,Alabama,US,2021/02/06 21:22:38+00,34.69847452,-87.80168544,5867,0,111,5756,Colbert,01033,"Colbert, Alabama, US",10620.7345993012,,,84001033,USA
